date,Value,Value2
2015 June 15,37,85
2015 June 16,13,75
2015 June 17,1,32
2015 June 18,15,1
2015 June 19,58,46
2015 June 20,8,49
2015 June 21,33,67
2015 June 22,48,14
2015 June 23,22,9
2015 June 24,7,19
2015 June 25,5,53
2015 June 26,18,6
2015 June 27,51,22
2015 June 28,38,91
2015 June 29,9,32
2015 June 30,48,37
2015 July 1,18,12
2015 July 2,89,83
2015 July 3,37,30
2015 July 4,19,86
2015 July 5,20,11
2015 July 6,74,85
2015 July 7,22,59
2015 July 8,57,63
2015 July 9,56,73
2015 July 10,13,25
2015 July 11,62,95
2015 July 12,59,93
2015 July 13,89,18
2015 July 14,76,7
2015 July 15,97,86
2015 July 16,41,99
