index,x,y
0,31,53
1,3,21
2,12,23
3,1,64
4,49,49
5,34,89
6,65,54
7,70,29
8,40,42
9,9,74
10,19,10
11,38,43
12,92,26
13,0,58
14,82,65
15,15,48
16,90,87
17,16,36
18,28,33
19,18,45
20,71,79
21,22,86
22,45,22
23,58,35
24,57,72
25,24,50
26,11,13
27,76,85
28,60,3
29,52,39
30,97,38
31,94,84
32,79,27
33,81,69
34,87,2
35,27,5
36,26,67
37,84,32
38,61,81
39,66,99
40,80,46
41,30,11
42,33,75
43,69,62
44,47,68
45,10,61
46,67,82
47,4,90
48,56,59
49,50,57
50,59,88
51,88,24
52,7,52
53,48,4
54,83,76
55,74,1
56,21,83
57,43,71
58,29,94
59,23,19
60,39,28
61,42,51
62,96,15
63,14,40
64,41,77
65,55,93
66,68,6
67,32,70
68,62,12
69,36,98
70,46,47
71,99,37
72,91,78
73,51,95
74,86,0
75,98,17
76,35,7
77,63,80
78,25,63
79,78,56
80,13,18
81,89,66
82,6,14
83,73,55
84,93,44
85,2,9
86,72,8
87,64,96
88,75,97
89,53,92
90,85,31
91,95,30
92,54,25
93,5,16
94,20,34
95,8,41
96,77,20
97,37,60
98,17,91
99,44,73
