STATE_ID,METRIC_ID,MAC_ID,CORRECTED_ADDRESS,504_COMPLIANCE,REASON_CD,GENERIC_CD,METRIC_COUNT,REPORTING_DATE
AK,5-2W,,N,N,,,51,7/6/2018
AR,5-2W,,N,N,,,256,7/6/2018
AZ,5-2W,,Y,N,,,1,7/6/2018
CA,5-2W,,N,N,,,451,7/6/2018
CA,5-2W,,Y,N,,,6,7/6/2018
CO,5-2W,,N,N,,,3,7/6/2018
CT,5-2W,,N,N,,,3,7/6/2018
DC,5-2W,,N,N,,,7,7/6/2018
DC,5-2W,,Y,N,,,1,7/6/2018
DE,5-2W,,N,N,,,21,7/6/2018
FL,5-2W,,N,N,,,12,7/6/2018
GA,5-2W,,N,N,,,6,7/6/2018
GU,5-2W,,N,N,,,2,7/6/2018
HI,5-2W,,N,N,,,21,7/6/2018
ID,5-2W,,N,N,,,1,7/6/2018
IL,5-2W,,N,N,,,11,7/6/2018
IN,5-2W,,N,N,,,4,7/6/2018
KS,5-2W,,N,N,,,4,7/6/2018
KY,5-2W,,N,N,,,5,7/6/2018
LA,5-2W,,N,N,,,5,7/6/2018
MA,5-2W,,N,N,,,6,7/6/2018
MD,5-2W,,N,N,,,133,7/6/2018
MD,5-2W,,Y,N,,,6,7/6/2018
MI,5-2W,,N,N,,,9,7/6/2018
MN,5-2W,,N,N,,,2,7/6/2018
MO,5-2W,,N,N,,,3,7/6/2018
MS,5-2W,,N,N,,,3,7/6/2018
MT,5-2W,,N,N,,,1,7/6/2018
NC,5-2W,,N,N,,,8,7/6/2018
ND,5-2W,,N,N,,,1,7/6/2018
NE,5-2W,,N,N,,,1,7/6/2018
NH,5-2W,,N,N,,,1,7/6/2018
NJ,5-2W,,N,N,,,5,7/6/2018
NM,5-2W,,N,N,,,4,7/6/2018
NV,5-2W,,N,N,,,2,7/6/2018
NY,5-2W,,N,N,,,13,7/6/2018
NY,5-2W,,Y,N,,,2,7/6/2018
OH,5-2W,,N,N,,,6,7/6/2018
OK,5-2W,,N,N,,,5,7/6/2018
OR,5-2W,,N,N,,,67,7/6/2018
OR,5-2W,,Y,N,,,2,7/6/2018
PA,5-2W,,N,N,,,239,7/6/2018
PA,5-2W,,Y,N,,,3,7/6/2018
RI,5-2W,,N,N,,,1,7/6/2018
SC,5-2W,,N,N,,,2,7/6/2018
SD,5-2W,,N,N,,,1,7/6/2018
TN,5-2W,,N,N,,,1,7/6/2018
TN,5-2W,,Y,N,,,1,7/6/2018
TX,5-2W,,N,N,,,2,7/6/2018
VA,5-2W,,N,N,,,127,7/6/2018
VA,5-2W,,Y,N,,,1,7/6/2018
WA,5-2W,,N,N,,,7,7/6/2018
WI,5-2W,,N,N,,,7,7/6/2018
WV,5-2W,,N,N,,,38,7/6/2018
AK,5-2W,,Y,N,,,1,7/6/2018
AL,5-2W,,N,N,,,17,7/6/2018
AR,5-2W,,Y,N,,,13,7/6/2018
AZ,5-2W,,N,N,,,31,7/6/2018
AZ,5-2W,,Y,N,,,3,7/6/2018
CA,5-2W,,N,N,,,3487,7/6/2018
CA,5-2W,,Y,N,,,68,7/6/2018
CO,5-2W,,N,N,,,21,7/6/2018
CT,5-2W,,N,N,,,16,7/6/2018
DC,5-2W,,N,N,,,42,7/6/2018
DC,5-2W,,Y,N,,,2,7/6/2018
DE,5-2W,,N,N,,,129,7/6/2018
DE,5-2W,,Y,N,,,1,7/6/2018
FL,5-2W,,N,N,,,57,7/6/2018
FL,5-2W,,Y,N,,,3,7/6/2018
GA,5-2W,,N,N,,,29,7/6/2018
GA,5-2W,,Y,N,,,1,7/6/2018
GU,5-2W,,N,N,,,9,7/6/2018
HI,5-2W,,N,N,,,155,7/6/2018
HI,5-2W,,Y,N,,,3,7/6/2018
IA,5-2W,,N,N,,,260,7/6/2018
IA,5-2W,,Y,N,,,6,7/6/2018
ID,5-2W,,N,N,,,7,7/6/2018
ID,5-2W,,Y,N,,,1,7/6/2018
IL,5-2W,,N,N,,,802,7/6/2018
IL,5-2W,,Y,N,,,22,7/6/2018
IN,5-2W,,N,N,,,494,7/6/2018
IN,5-2W,,Y,N,,,8,7/6/2018
KS,5-2W,,N,N,,,217,7/6/2018
KS,5-2W,,Y,N,,,7,7/6/2018
KY,5-2W,,N,N,,,15,7/6/2018
LA,5-2W,,N,N,,,19,7/6/2018
MA,5-2W,,N,N,,,30,7/6/2018
MA,5-2W,,Y,N,,,2,7/6/2018
MD,5-2W,,N,N,,,568,7/6/2018
MD,5-2W,,Y,N,,,22,7/6/2018
ME,5-2W,,N,N,,,5,7/6/2018
ME,5-2W,,Y,N,,,1,7/6/2018
MI,5-2W,,N,N,,,36,7/6/2018
MI,5-2W,,Y,N,,,1,7/6/2018
MN,5-2W,,N,N,,,389,7/6/2018
MN,5-2W,,Y,N,,,16,7/6/2018
MO,5-2W,,N,N,,,21,7/6/2018
MO,5-2W,,Y,N,,,1,7/6/2018
MP,5-2W,,N,N,,,2,7/6/2018
MS,5-2W,,N,N,,,6,7/6/2018
MT,5-2W,,N,N,,,4,7/6/2018
NC,5-2W,,N,N,,,32,7/6/2018
ND,5-2W,,N,N,,,50,7/6/2018
ND,5-2W,,Y,N,,,1,7/6/2018
NE,5-2W,,N,N,,,158,7/6/2018
NE,5-2W,,Y,N,,,4,7/6/2018
NH,5-2W,,N,N,,,11,7/6/2018
NJ,5-2W,,N,N,,,33,7/6/2018
NJ,5-2W,,Y,N,,,3,7/6/2018
NM,5-2W,,N,N,,,10,7/6/2018
NM,5-2W,,Y,N,,,1,7/6/2018
NV,5-2W,,N,N,,,6,7/6/2018
NV,5-2W,,Y,N,,,1,7/6/2018
NY,5-2W,,N,N,,,68,7/6/2018
NY,5-2W,,Y,N,,,2,7/6/2018
OH,5-2W,,N,N,,,41,7/6/2018
OH,5-2W,,Y,N,,,2,7/6/2018
OK,5-2W,,N,N,,,269,7/6/2018
OK,5-2W,,Y,N,,,7,7/6/2018
OR,5-2W,,N,N,,,441,7/6/2018
OR,5-2W,,Y,N,,,11,7/6/2018
PA,5-2W,,N,N,,,1453,7/6/2018
PA,5-2W,,Y,N,,,29,7/6/2018
PR,5-2W,,N,N,,,17,7/6/2018
RI,5-2W,,N,N,,,5,7/6/2018
SC,5-2W,,N,N,,,15,7/6/2018
SC,5-2W,,Y,N,,,1,7/6/2018
SD,5-2W,,N,N,,,68,7/6/2018
SD,5-2W,,Y,N,,,1,7/6/2018
TN,5-2W,,N,N,,,15,7/6/2018
TN,5-2W,,Y,N,,,2,7/6/2018
TX,5-2W,,N,N,,,76,7/6/2018
TX,5-2W,,Y,N,,,3,7/6/2018
UT,5-2W,,N,N,,,5,7/6/2018
VA,5-2W,,N,N,,,884,7/6/2018
VA,5-2W,,Y,N,,,24,7/6/2018
VT,5-2W,,N,N,,,4,7/6/2018
WA,5-2W,,N,N,,,23,7/6/2018
WA,5-2W,,Y,N,,,2,7/6/2018
WI,5-2W,,N,N,,,473,7/6/2018
WI,5-2W,,Y,N,,,9,7/6/2018
WV,5-2W,,N,N,,,233,7/6/2018
WV,5-2W,,Y,N,,,4,7/6/2018
WY,5-2W,,N,N,,,1,7/6/2018
