Month	random	Date	lowci	highci	med	Lower CI	Median	Number of Records	Upper CI	Year 	Year Original
1	0.594668249	1/1/1858	cooler	cooler	cooler	-0.461	-0.532	1	-0.58	1858	1858/01
2	0.516102042	2/1/1858	cooler	cooler	cooler	-0.643	-0.707	1	-0.762	1858	1858/02
3	0.404859543	3/1/1858	cooler	cooler	cooler	-0.502	-0.55	1	-0.62	1858	1858/03
4	0.409207658	4/1/1858	cooler	cooler	cooler	-0.442	-0.517	1	-0.58	1858	1858/04
5	0.629146954	5/1/1858	cooler	cooler	cooler	-0.601	-0.651	1	-0.718	1858	1858/05
6	0.418070315	6/1/1858	cooler	cooler	cooler	-0.524	-0.58	1	-0.653	1858	1858/06
7	0.199437084	7/1/1858	cooler	cooler	cooler	-0.267	-0.324	1	-0.376	1858	1858/07
8	0.209752342	8/1/1858	cooler	cooler	cooler	-0.234	-0.28	1	-0.336	1858	1858/08
9	0.27056208	9/1/1858	cooler	cooler	cooler	-0.29	-0.339	1	-0.398	1858	1858/09
10	0.914831199	10/1/1858	cooler	cooler	cooler	-0.144	-0.2	1	-0.269	1858	1858/10
11	0.396099228	11/1/1858	cooler	cooler	cooler	-0.591	-0.644	1	-0.702	1858	1858/11
12	0.076593625	12/1/1858	cooler	cooler	cooler	-0.237	-0.3	1	-0.362	1858	1858/12
1	0.437542738	1/1/1859	cooler	cooler	cooler	-0.245	-0.307	1	-0.363	1859	1859/01
2	0.362954879	2/1/1859	cooler	cooler	cooler	-0.128	-0.192	1	-0.248	1859	1859/02
3	0.803748877	3/1/1859	cooler	cooler	cooler	-0.286	-0.334	1	-0.407	1859	1859/03
4	0.853712425	4/1/1859	cooler	cooler	cooler	-0.13	-0.203	1	-0.266	1859	1859/04
5	0.990579334	5/1/1859	cooler	cooler	cooler	-0.258	-0.31	1	-0.381	1859	1859/05
6	0.762464376	6/1/1859	cooler	cooler	cooler	-0.197	-0.25	1	-0.328	1859	1859/06
7	0.02653739	7/1/1859	cooler	cooler	cooler	-0.231	-0.285	1	-0.347	1859	1859/07
8	0.923740204	8/1/1859	cooler	cooler	cooler	-0.054	-0.104	1	-0.172	1859	1859/08
9	0.357846686	9/1/1859	cooler	cooler	cooler	-0.52	-0.575	1	-0.635	1859	1859/09
10	0.288904285	10/1/1859	cooler	cooler	cooler	-0.199	-0.255	1	-0.318	1859	1859/10
11	0.576970245	11/1/1859	cooler	cooler	cooler	-0.263	-0.316	1	-0.38	1859	1859/11
12	0.061070568	12/1/1859	cooler	cooler	cooler	-0.306	-0.363	1	-0.429	1859	1859/12
1	0.186793543	1/1/1860	cooler	cooler	cooler	-0.123	-0.186	1	-0.241	1860	1860/01
2	0.566355905	2/1/1860	cooler	cooler	cooler	-0.366	-0.428	1	-0.485	1860	1860/02
3	0.923773568	3/1/1860	cooler	cooler	cooler	-0.591	-0.643	1	-0.715	1860	1860/03
4	0.545804823	4/1/1860	cooler	cooler	cooler	-0.267	-0.335	1	-0.396	1860	1860/04
5	0.984097976	5/1/1860	cooler	cooler	cooler	-0.242	-0.29	1	-0.365	1860	1860/05
6	0.418732732	6/1/1860	cooler	cooler	cooler	-0.254	-0.307	1	-0.38	1860	1860/06
7	0.123141376	7/1/1860	cooler	cooler	cooler	-0.065	-0.116	1	-0.18	1860	1860/07
8	0.797029003	8/1/1860	cooler	cooler	cooler	-0.14	-0.193	1	-0.253	1860	1860/08
9	0.204395257	9/1/1860	cooler	cooler	cooler	-0.172	-0.229	1	-0.281	1860	1860/09
10	0.510089351	10/1/1860	cooler	cooler	cooler	-0.144	-0.198	1	-0.259	1860	1860/10
11	0.528938255	11/1/1860	cooler	cooler	cooler	-0.451	-0.508	1	-0.576	1860	1860/11
12	0.854176924	12/1/1860	cooler	cooler	cooler	-0.692	-0.752	1	-0.831	1860	1860/12
1	0.187398792	1/1/1861	cooler	cooler	cooler	-0.825	-0.89	1	-0.959	1861	1861/01
2	0.37118412	2/1/1861	cooler	cooler	cooler	-0.438	-0.506	1	-0.581	1861	1861/02
3	0.219637391	3/1/1861	cooler	cooler	cooler	-0.402	-0.465	1	-0.557	1861	1861/03
4	0.123034248	4/1/1861	cooler	cooler	cooler	-0.332	-0.395	1	-0.47	1861	1861/04
5	0.901209796	5/1/1861	cooler	cooler	cooler	-0.696	-0.761	1	-0.853	1861	1861/05
6	0.168733449	6/1/1861	cooler	cooler	cooler	-0.117	-0.183	1	-0.275	1861	1861/06
7	0.506425714	7/1/1861	cooler	cooler	cooler	-0.145	-0.221	1	-0.313	1861	1861/07
8	0.635625999	8/1/1861	cooler	cooler	cooler	-0.057	-0.107	1	-0.179	1861	1861/08
9	0.58188544	9/1/1861	cooler	cooler	cooler	-0.269	-0.331	1	-0.398	1861	1861/09
10	0.121741362	10/1/1861	cooler	cooler	cooler	-0.308	-0.355	1	-0.425	1861	1861/10
11	0.637504081	11/1/1861	cooler	cooler	cooler	-0.372	-0.424	1	-0.492	1861	1861/11
12	0.170896315	12/1/1861	cooler	cooler	cooler	-0.179	-0.253	1	-0.346	1861	1861/12
1	0.135999896	1/1/1862	cooler	cooler	cooler	-0.671	-0.749	1	-0.821	1862	1862/01
2	0.23189177	2/1/1862	cooler	cooler	cooler	-0.699	-0.773	1	-0.851	1862	1862/02
3	0.039828914	3/1/1862	cooler	cooler	cooler	-0.343	-0.402	1	-0.478	1862	1862/03
4	0.650683292	4/1/1862	cooler	cooler	cooler	-0.168	-0.24	1	-0.31	1862	1862/04
5	0.997941786	5/1/1862	cooler	cooler	cooler	-0.178	-0.232	1	-0.308	1862	1862/05
